filename,name,author,year,genre
Dunbar_Thou_Art_My_Lute.txt,Thou Art My Lute,Paul Laurence Dunbar,1913,Harlem Renaissance
Mckay_To_One_Coming_North.txt,To One Coming North,Claude Mckay,1922,Harlem Renaissance
Plath_Tulips.txt,Tulips,Sylvia Plath,1960,Confessional
Robinson_Villanelle_of_Change.txt,Villanelle of Change,Edwin Arlington Robinson,1922,Proto
Rexroth_Vitamins_and_Roughage.txt,Vitamins and Roughage,Kenneth Rexroth,1966,Beat
Masters_Widow_McFarlane.txt,Widow McFarlane,Edgar Lee Masters,1915,Modern
Ransom_Winter_Remembered.txt,Winter Remembered,John Crowe Ransom,1969,Fugitive
Williams_Winter_Trees.txt,Winter Trees,William Carlos Williams,None,Imagist
Masters_Yee_Bow.txt,Yee Bow,Edgar Lee Masters,1916,Modern
Plath_You're.txt,You're,Sylvia Plath,1960,Confessional
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
